"STU_ID","BYSEX","BYRACE","BYMOTHED","BYWRTNGA"
119223,1,4,3,0.43
119224,2,3,2,-1.384
119225,2,3,3,-4
119227,1,3,2,-4
119228,2,3,8,1.756
119229,1,3,6,-0.143
119230,2,3,3,-4
119232,2,3,2,-0.143
119233,2,3,2,-4
119234,1,3,6,-4
120101,2,7,2,-0.435
120102,1,7,2,-1.282
120103,2,7,1,1.001
120104,2,7,6,1.001
120105,1,7,7,0.052
120106,2,4,6,0.052
120107,1,5,2,-1.847
120108,-4,-4,-4,-4
120109,1,7,2,-1.087
120110,2,7,6,0.052
120111,1,2,6,-1.579
120112,1,5,2,1.567
120113,1,2,6,-1.579
120115,1,7,6,0.052
120116,2,7,6,-0.898
120117,1,7,2,-1.579
120118,2,2,3,-0.137
120119,2,7,2,1.299
120120,2,7,4,1.951
120121,1,7,7,0.052
120122,2,7,3,-0.435
120123,2,7,2,-1.087
120124,1,7,6,1.001
120125,1,7,2,0.052
120126,2,6,3,-1.087
120127,2,7,5,-0.405
120128,1,7,3,-1.282
120129,1,5,4,-1.847
120130,1,7,2,-1.847
120131,2,7,7,0.996
120132,1,7,5,0.052
120201,1,2,6,-0.6
120202,2,7,2,-0.167
120204,2,7,2,-4
120205,2,7,6,0.618
120206,1,7,6,1.196
120207,1,7,3,-4
120208,1,7,3,1.756
120209,-4,-4,-4,-4
120210,1,6,7,0.618
120211,2,7,2,1.27
120212,2,7,7,-0.319
120213,2,5,2,-0.435
120215,2,2,2,-0.167
120216,1,6,2,-0.898
120217,2,-8,1,-1.122
120218,2,2,2,0.618
120219,1,7,3,0.052
120220,2,7,4,-0.898
120221,1,5,3,-0.703
120222,2,7,6,1.001
120223,1,2,7,0.241
120224,1,5,5,-0.898
120225,2,7,6,0.515
120227,1,2,1,0.32
120228,1,7,3,-1.847
120229,1,2,2,0.052
120230,2,7,3,-0.435
120262,-8,-8,-8,-8
121101,1,3,1,-0.898
121102,1,6,5,-0.411
121103,1,3,2,0.052
121104,2,2,4,0.052
121105,2,3,1,-0.63
121106,1,3,4,0.052
121107,1,3,1,-0.63
121108,1,3,2,-1.847
121109,1,5,1,-0.216
121110,1,3,1,-0.411
121111,2,3,1,-1.579
121112,2,3,2,-0.435
121113,1,3,5,0.052
121114,1,3,4,0.052
121116,2,3,4,0.052
121117,2,3,2,0.052
121119,1,3,2,0.052
121120,2,3,5,0.32
121121,2,3,2,0.052
121122,2,5,2,-1.093
121123,1,3,1,-1.847
121124,2,3,1,-0.63
121125,2,3,6,0.052
121126,1,3,7,-1.384
121127,1,3,5,-0.898
121128,1,6,8,-0.819
121129,1,5,3,-1.847
121130,1,5,5,-1.579
121131,1,3,3,0.052
121132,2,3,2,1.08
121134,2,3,2,0.052
121161,-8,-8,-8,-8
121162,-8,-8,-8,-8
121201,2,5,3,-0.898
121202,2,3,2,-0.898
121203,1,7,4,-0.898
121204,1,2,6,-0.898
121205,1,3,1,-1.384
121206,1,4,3,1.951
121207,2,7,3,-0.898
121208,1,3,4,-0.898
121209,2,5,2,-0.435
121210,2,3,7,0.052
121211,1,7,6,-4
121212,2,3,2,-0.898
121213,2,4,3,-0.435
121214,1,5,1,-1.166
121215,2,3,1,0.052
121216,1,7,2,0.052
121217,1,5,3,0.807
121218,1,2,6,1.951
121219,1,4,2,-1.652
121220,1,3,4,-0.137
121221,1,4,2,0.052
121222,2,3,6,-0.898
121223,1,4,3,-1.579
121224,1,7,3,0.052
121225,1,7,2,-0.898
121226,1,7,2,0.028
121227,1,5,7,-0.361
121228,1,7,2,0.052
121229,1,3,3,-0.898
121230,-4,-4,-4,-4
121231,2,7,2,1.951
121232,2,2,2,0.028
121233,1,5,1,-0.435
121234,-4,-4,-4,-4
122101,2,2,8,-4
122102,2,5,3,-4
122103,1,5,2,-0.514
122104,2,4,1,-1.658
122105,-4,-4,-4,-4
122106,2,5,1,-0.137
122107,1,7,5,-4
122108,2,7,2,0.052
